,customer,title,stars,review,date
194,Sharky,"The biggest books retailer on the planet is unable to provide a value for money service? Come on Amazon, get real!",1.0,"For the last few weeks, the home screen of my Amazon account has been trying to seduce me with a fabulous free trial of Audiobooks. As a Prime customer, the offer is for three months’ free membership. I’m aware of the misery that it has caused some customers with confusing or misleading offers so I cautiously accepted the trial.Happily, everything went well. I did indeed get a full three months’ membership for free and very quickly I was being invited to download an App for my Android phone and spend the current month’s single credit on an audible book off my choice. As a fan of the original Star Trek series I opted for ‘Shatnerverse’ – a whopping four-hour long odyssey in the inner musings of the William Shatner! Great fun.As someone who has to endure regular, long car journeys as part of my job this is going to provide some much-needed distraction from the daily commute. So, I really like the concept of audible books and I think it's something I'm going to really enjoy.But, (there’s always a but), the current pricing structure is bonkers. One credit, or in other words, one book of your choice per month for £7.95 is insane. I don’t know what Amazon were thinking. The biggest retailer of books on the planet should be able to secure a much better deal for their customers than this offering.My first book lasts four hours, this is easily going to be listened to in about a week. What am I to do for the reminder of the month until I’m once again prompted (allowed) to select my next title? Whistle Dixie?Verdict: The biggest books retailer on the planet is unable to provide a value for money service? Come on Amazon, get real! On the current pricing strategy, my advice to new customers is to sign up, grab your three free audio books (one per month) and then click the Cancel Membership button. This is offer is just dumb.",27 October 2016
195,Bodders,I am in full agreement with the other poor reviews - far too expensive,1.0,"I am in full agreement with the other poor reviews - far too expensive, in fact a rip-off!. So much so that I am considering cancelling my Prime subscription!.",6 June 2017
196,J A Hunt,Pull the other one!,1.0,"You've got some cheek, Amazon!  You think I'd pay as much per year just for audiobooks as I do for Amazon Prime? Hasn't Bezos got enough money yet? This should be a free add-on for Prime membership. Period.",16 December 2018
197,Sophisticat,mispronounced words And a stilted style make the books that I’ve read so far a bit annoying,3.0,I’ve only listened to 2 audiobooks so far but I am not impressed with the reading skills of those that do the reading. The narrators seem to put all the pauses in the wrong places and mispronounced words,18 April 2018
198,steves,UTTER UTTER WASTE OF MONEY. NONSENSE.,1.0,Complete waste of money.,14 February 2017
199,Jadeskye,Good service but too expensive,2.0,Great idea and a great service but simply far too expensive for 1 book per month. I'd happily sign up for 7.99 a month for unlimited access.,2 December 2016
200,Amazon Customer,Like everyone else on here,1.0,"Like everyone else on here, I think audible is too expensive. I did try it once, but thought better of it after seeing what else I could get online for the same price. One book a month doesn't work for me.",27 January 2017
201,Cal,"Great concept, bad execution",1.0,"I love audiobooks, there's really no better way to drift off to sleep at night. However, Audible is not for me. There are a few reasons, and they're all to do with the platform, not the content.First off, Audible locks all their books with some of the worst Digital Restrictions Management I have ever seen. Not only do you have to activate each and every device you want to listen to your books on (which also means that devices like simple MP3 players will not play Audible books), but you also have to activate the computer you want to download them to your devices with. And activation does not appear to be permanent: I've had to re-activate my computer several times. Worst of all, there appears to be a limit to the number of devices you can activate, which I'm either near or at, so the next time this happens, I'll lose the books I paid for!Secondly, Audible has some very confusing options. When downloading a book, you have to choose between four versions: ""2"", ""3"", ""4"", and ""Enhanced"". I'm all in favour of giving the user options, but there doesn't actually appear to be an explanation of what this means anywhere on the site!And finally, the pricing model is badly broken, and the subscription choices are... weird, to say the least. One or two books per month, sure, I can understand that. You can also choose to buy 12 or 24 books all at once. That makes sense, just pay for a year up front. But if you want to buy an individual book, that can cost upwards of half the price of a subscription all in one go!All in all, Audible is not the way to experience audiobooks at their best. I'd recommend you visit your local library and check out what they have to offer: it's not instant, but neither is Audible, and the hire charge for an audiobook from your library is much cheaper than Audible.",20 April 2017
202,Landloper,An expensive prospect...,1.0,"Prices way too high. No, thank you.",10 February 2016
203,Miss Danielle Lamb,There is a difference between an a free audiobook and a free trial subscription.,1.0,"Misleading. I got an email stating ""download your Free audiobook now"". I thought it was a generous gift/offer by amazon to download at least one free audio-book. I never used audio books before in my life, only e-books. Thought I would give this a try download the free audiobook, and give it a try and see if I like it or not, if it would be like someone reading the story to me. But when asked to login .. to my disappointment it was a free trial for a subscription service not a one free audiobook to download. This sux, and was very misleading and deceitful. I have been buying stuff  with amazon for a long time, and has a good reputation with the relationship between me and them. This experience today is dishonest, illogical and deceitful, and should be clear, precise and logical. There is a difference between an a free audiobook and a free trial subscription.",23 April 2017
204,Anita K,Audible is not Accessible and Affordable for UK Customers,1.0,"If Audible Unlimited were availble in the Prime package I would be a dedicated Amazon customer, I spend a lot of time on the road and need text books as well as fiction books to listen to in the car.  I am only able to get one book for £7.99 per month and with the majority of books I would pick to read in the £15-£20 range even for short texts these books are extremely expensive.  I also have a blind family member who would LOVE this service however as a student it is out of her price range to afford.  Many devices including I-Phones, Kindle's and PCs offer free 'reading' applications which are improving daily, having books read into Audible may just become redundant before it is even financially attractive for a UK user to invest in, Amazon please play the game fairly and making Audible at least as cheap to use for UK customers as for US customers.",8 March 2017
205,Dave,Too expensive,1.0,"Too expensive,  for the cost I'd expect unlimited listening not just one book",16 January 2016
206,Mad Mick,Must do better!!!,1.0,"Mis-conceived ""lead-on"" advertising lured me into opening the link in Amazon's email, only to find, like others here, that the book is not actually free (or, rather costs nothing but is conditional on signing up for a trial period and giving card details) and that the monthly fee is extortionate! Come on, Amazon, you can do better than this - I subscribe to Netflix and can watch unlimited films etc. for under six quid a month!!",29 May 2017
207,Muttley,No way,1.0,"No chance at £7.99 per month - wouldn't pay that for unlimited books - that's as much as  Prime - unlimited movies,  music,  tv shows and deliveries,  or 1 book....",18 January 2016
208,Amber C G Derrick,A lot of fuss.,2.0,"I've found myself in a bit of a dilemma that I'm sure is shared with others, or at least something similar. My husband spends a lot of time driving, so would like to listen to audio books rather than the same old rubbish in the radio. However, there are so few audio books to buy in CD format anymore, because Audible seem to have the monopoly. It means that you have to sign up to Audible, download the audio book, then burn it onto a CD. And then you end up giving a crappy home copied CD for Christmas. It's all a bit last century to be honest!",19 December 2016
209,Pippit,Way too expensive after free trial.,1.0,"This offer is only available to NEW subscribers. However for the benefit of those who may be tempted, I think £8/month is too expensive. After a previous 3 month trial elapsed I went back to my local local library (remember those) and found I could reserve online e-books, audio books or old fashioned CD box sets for a nominal charge. Sure, ripping CDs to my MP3 player takes a bit of effort, but it is way better than being ripped off by Audible!",10 December 2016
210,Wulvis,£££££,1.0,Far too expensive.,25 December 2016
211,Amo Customer,One Star,1.0,One book per month ? Seriously ?,28 November 2016
212,w. fishwick,Canceling Audible.,1.0,I am canceling audible. I refuse to pay a subscription for the daily deal.,27 October 2018
213,Lex,"Not much use, far to limited at one book ...",1.0,"Not much use, far to limited at one book a month since. I was keen to get the children's books for the kids but at one a month its not worth it.",14 January 2017
214,Ryan,Free trial with 3.99 GBP delivery.... what delivery with digital?,1.0,Free trial with 3.99 GBP delivery.... what delivery with digital? used in the past and liked it but ended up swamped with books. Needs to be freer in operation.,29 January 2019
215,Alan,Too expensive,1.0,"Nice idea, too expensive",22 April 2019
216,Amazon Customer,... to my book I can do what ever a like no need to just sit I a Can whatever ...,5.0,I can carry my tablet around with me while listening to my book I can do what ever a like no need to just sit I aCan whatever I want and still read .,30 March 2016
217,Cliente Amazon,Audible free trial( digital membership),1.0,"I was invited to take up this offer,I haven decline because I thing it is too expensive,no thanks",22 January 2017
218,Samer,Too expensive,1.0,£100 a year is way too expensive for 12 books. I would expect unlimited access for that.,25 October 2016
219,Amazon1,Too Expensive,1.0,"As everyone else says, too expensive.",14 March 2017
220,Here and now.,Not for me,1.0,At that cost I can buy arf a dozen books at a market stall and read out loud to myself!Sorry Amazon it's not for me.,14 May 2017
221,N. Abdulhadi,Even Less than a star. When I became a ...,1.0,Even Less than a star. When I became a member I asked them very clearly about no hidden charges . 1 year later I realised they've been charging me £12.5 extra Every Month. Their answer was ambiguous as they said it's the American Audible and something else which didn't make any sense. I canceled my subscription with  hostile girl over the phone of course.,9 May 2018
222,William durrant,Too expensive. Why not included in prime membership.,1.0,Far too expensive a deal. Needs Amazon pricing review or simply unlimited books per month.,19 March 2017
223,Andy P,If Spotify and apple can stream unlimited for £9. ...,1.0,If Spotify and apple can stream unlimited for £9.99 a month why can't they do the same for audio. What a rip off - I want be signing up.,15 January 2017
224,mrs Pamela Stevens,to expensive dont enter in to the free offer at ...,1.0,to expensive  dont enter in to the free offer at these prices its day light robbery .once you sign up they  take your money,4 December 2016
225,Rus,One Star,1.0,Far too expensive,5 November 2016
226,Joanna Kayleigh Flaherty,99 this would actually be a good service as I enjoyed listening to the 1 Book ...,1.0,If it werent for the fact that you can only download 1 book per month for £7.99  this would actually be a good service as I enjoyed listening to the 1 Book I was allowed on this free trial and was actually thinking of joining until I seen you get 1 book per month the books I like to listen too are on average £3.99 so this is soooo poor value for money. Not worth it.,10 June 2016
227,Maks,Intresting,5.0,It's a good opportunity to use audio books for someone that has never listen to audiobooks it works well with Alamazon Echo I hope the price gets included with prime or reduced because for the  year it would be quite expensive,25 April 2017
228,S. Maylor,"Cancelling mine immediately. Very overpriced, and even the ...",1.0,"Cancelling mine immediately.  Very overpriced, and even the free download has disappeared.  Rubbish.",9 January 2017
229,C. Fletcher,Limited use.,1.0,I am unsubscribing. I wanted to download books onto an MP3 for a relative in hospital. But you cannot do that without downloading the app first. No use to me.,24 April 2016
230,The Curator,I often buy more than £7. 99's worth of ...,1.0,"I often buy more than £7.99's worth of books a month but since audiobooks are new to me, I only want the odd one to try. I would never touch the old 'free trial' thing because inevitably it's hard to cancel. When audible drops this subscription model, I'll perhaps have a look",8 September 2016
231,Amazon Customer,Try this offer in the knowledge your likely to get hooked,5.0,This is a gateway offer to suck you in. Soon one book a month isn't enough and have to do the 24 book a year offer to satisfy your need for great books read by great narrators. Now even that is not enough for me and I find myself sneaking through the two for one deals and the additional three credit offers to meet my need.Hello my name is Steve and I am an Audible addict.,14 February 2016
232,FB,It's a great tool to keep you reading even when you have to do things or drive to work!,5.0,It's a great way to read when you're busy....you can do things and listen and when you can sit down you can return to your book and read it yourself.  The best of both worlds.😀,21 August 2016
233,P,very poor service,1.0,"You have to download an app to play the books, and you can't just get an MP3 copy of the book.  The software is very buggy and gave me loads of problems. I had to cancel 3 times before it would accept it.",5 June 2016
234,Simon Morice,Multimedia consumption,5.0,"In concert with Kindle, an audio version of a book lessens the impact on the increasingly scarce personal resource, time. I can now access content I want whilst doing many other things.",12 July 2015
235,Fishbonealice,You're kidding Amazon...aren't you...,1.0,"When I was offered the free audio book deal I  thought I might give it a go. Until, that is, I read the charges. £7.99 a month seemed quite expensive but at least it would surely offer a lot of listening.  Then I looked again, this time with disbelief. One lousy book a month!  Forget it.",30 April 2017
236,Max,No a good value for 100 at year.,1.0,No good deal. Just one book at month for about 100 at year.,17 April 2017
237,Bourne Free,One Star,1.0,misleading description,26 June 2017
238,Mike O'Reilly,Audible pricing,1.0,"Too expensive for what you get...Amazon should look at the reviews on here to understand what the public want and expect from them. It's clear what the majority feel and if the pricing structure was improved, especially for Prime customers, then Audible would get much more support",6 December 2016
239,plumbob,Brilliant,5.0,"Perfect for the occasions when you just don't have the time to sit down and read. Having an audio library means you can pick and choose from hundreds of titles wherever you are, whatever you are doing and listen to them as many times as you want.  Looking forward to getting through more books than I could have hoped to previously. Fantastic.",8 May 2016
240,kevin smith,Do not use this product,1.0,"Please don’t go with audible. I hardly ever write reviews, except when I feel totally ripped off, or, am being lead into a scam. My experience with audible has been both of these.",28 November 2020
241,Jimaldo,Too expensive,1.0,"So expensive. £7.99 for one ""free"" title a week is outrageous when comparing it to Netflix",24 February 2019
242,KMLM,Sleep timer,5.0,I like audible. I would just like to suggest an improvement to the sleep timer  function. As the length of chapters varies enormously it would be betteŕ to be able to specify exactly the length of time before the app goes to sleep.,6 January 2019
243,Amazon Customer,Recommending Audible to everyone,5.0,"Having Audible helps me to listen to the books I like. In a busy world, its great to be able to listen while you drive, cook, etc., even at work - when no one else is around! I do have books on CD but having them all on my phone means I can listen to them wherever I go. Makes holiday packing a lot easier!",1 April 2016
244,I P Love,99 a month for one book is not a good deal. 7,1.0,"7.99 a month for one book is not a good deal. 7.99 a month for 3, then maybe........",28 November 2016
245,Amazon Customer,Could be better pricing strategy.,3.0,I am on the free trial at the moment and find the audible experience brilliant. The reason I have only given 3 stars is that in my opinion for the monthly price the kindle versions should be included in the price to complete the experience. Having to fork out again for the same book is a bit of a rip off.,27 March 2018
246,Terry Murray,Two Stars,2.0,Far too expensive - not for me.Amazon have got this one wrong.........,21 February 2017
247,Jimmy Taylor,Brilliant Sound and Quality Playback,5.0,High quality audio and well presented. Love the Harry Potter series and this is helped by Stephen Fry being an amazing Narrator! :),20 March 2016
248,Kayley,Fantastic Customer Service,4.0,"While a little pricey for only one audiobook, considering you can get some audiobooks for 3 or 4 quid, the customer service was absolutely amazing and staff were extremely helpful when I had an issue. One of the best customer service experiences I’ve had :)",29 January 2019
249,LeftOffCentre,I took the bait...,1.0,"I wanted to download a particular book, which was only offered with the free Audible trial.  I took the bait but I am not inclined to pay a monthly fee just to enable me to then buy more books.  And I think I prefer to read my books, as my mind tends to wander, its easier to re-read a sentence than to re-wind.  Be aware that when you cancel your membership (and you will have a job doing that, there is no trace of Audible on your Amazon account you will have to search for ""Audible Library"") they will cancel your membership but keep your account details - username/password etc., forever.  And ever.",16 October 2016
250,Coolchick111,just okay but not worth it long term,3.0,"Audio books for starers are quite expensive if you are even a member or not. i do enjoy listening to the books and will keep my subscription for about a year then cancel it as i want to collect a fair amount of books, as it is nice to listen to but on the value, i would agree that 8 pounds a month for just 1 credit is kind of expensive, maybe 2 credits a month? and the sale items on offer are never on books i like so can't really buy any sales item, the books are good to listen to and if you are not happy you can also return the book and get another which is good so saying that, will give it just a 3 star rating.",28 May 2017
251,Gnostic Forest Art,Not for me,2.0,"I don't use any kind of tablet or Smart phone - I just wanted to be able to listen to audiobooks on my PC (and preferably not through anything other than a standard media/mp3 player). Despite clicking the download button next to my free trial, I couldn't open the file that was downloaded as it wasn't recognised by my PC. I'd also tried installing the Active Setup app but couldn't play it like that either - I prefer not to stream but that was the only way I could listen to it!Ultimately, I agree that the price is too expensive and the felt the reader's voice for the free book I'd chosen wasn't good - not something I'd like to listen to - I'd rather read the book.",23 January 2016
252,Richard,Two Stars,2.0,Just not enough variation of content.,12 July 2015
253,Mrs. C. Partridge,Great!,4.0,"Great - really enjoyed listening through the car on long journeys.  Initially not sure how to buy books, so a little more information would have been better.  But mastered it in the end.",5 June 2016
254,H Y,Misleading advert,1.0,"It says ""get your free audiobook"" but tries to offer free trial. NO THANK YOU!",27 May 2017
255,Amazon Customer,Overpriced!,1.0,Rip-off!  £7.99 per month for only 1 book!!....Not for me thanks.,21 February 2016
256,UKStu,One Star,1.0,Way too expensive. Should be half this price.,8 December 2016
257,carl Pengelly,Now I love it. I use it in my studies and ...,5.0,I wasn't interested in this app to start with.  I only got it because I really wanted a audio title that I could only get with Audible.  Now I love it.  I use it in my studies and its most useful when I am in the car.  Wouldn't want to be without it.,1 May 2016
258,Amazon Customer,User friendly and pracital,5.0,"Audible is very user friendly and practical, with the app on your mobile makes it more compact and easier to listen on the go and not worry about missing any calls or notifications. The free trial is also great giving you the chance to see if audible is for you and the 1 book a mouth deal is amazing too. I'm now on my 3rd book now and look forward to each month.",18 July 2016
259,savvy,Not a good start!,1.0,I've donloaded the audible app and then chose a book but after downloading it it's not in the library.Not a good start!,29 September 2017
260,Englishabroad,Great idea but sadly technical problems continue to irritate,3.0,"I like the choice of material available but have to mark it down for all the trouble I have had, and continue to have with getting the books to download.  It's costing me money and I don't get anything for it.  I'll be cancelling soon.",28 September 2016
261,Sheila Chapman,Amazon/Audible needs to be a bit more open and honest.,1.0,"I was invited to try Audible free for 30 days. I applied for a book, but was told it was only for new memberships and I had been a member (though not a subscriber) since 2001. So apparently this is for new memberships of Amazon, which is not clear. At this stage I was not sure whether I had signed on for a subscription, it had gone through the payment page. So I tried to unsubscribe (I was irritated with the messing at this stage) but was told there was an error and I would have to ring the UK. Does this mean I am or am not a member,  and I have or have not signed up for a subscription.The current situation is that I have cancelled my credit card details with  Amazon and in spite of hundreds of purchases over the years I will not be re-joining until I am told clearly that I do not have a subscription with Audible. I am not open to being nagged/persuaded, and I am not willing to ring a UK number. I just want a simple answer.",24 August 2015
262,Amazon Customer,One Star,1.0,Not at that price,25 February 2017
263,Phillip D,HOW much??,1.0,"Good, but WAY too expensive.",3 March 2018
264,Linda Lloyd,Crap,1.0,"Way too expensive. ......!  Won't be using, have cancelled",24 November 2018
265,Dorethea Clegg,Five Stars,5.0,Love it listen on the train every day.,15 May 2018
266,J. Hollingshead,Far too expensive. For £7. 99 a month ...,1.0,Far too expensive.  For £7.99 a month i would expect far more than a single book per month!,27 October 2016
267,Mr J.,Big let down.,2.0,"Tryed the trial and was hoping for a lot more but to be honest it was a massive let down and nowhere near worth the monthly fee, which i find it to be very high, it felt very minimal and not enough of a selection, i tryed it for my kids so i had some decent books to read them before bed or to keep them occupied if we were busy but couldnt find non of the main charactors my daughter was in too, even pepper pig we struggled to find, to be honest having a amazon prime membership you would of thought itd be free with the option of paying a bit extra for the more higher end books like harry potter ect which for £17.99 is way too high, for the whole selection yes not for 1 no way. Big let down overall 2 stars for me.",30 January 2017
268,Amazon Customer,No deal,1.0,The subscription makes little sense. £7.99 per month for 1 book?,16 August 2016
269,Paula,Digital membership too expensive,1.0,I love the audio books but £7.99 a month to pay is too much. I'm already a a Prime member and pay that every year why must I pay extra.  I can get audio books from my local library for free,7 May 2016
270,Sofie,Great,5.0,Really enjoyed using this .The idea of listening to a book rather than reading is great and I'll be happy to listen to  many more this way,17 April 2016
271,J. Burton,A bit pricy for what it is,1.0,Didn't realise it is one book a month -a bit too expensive for this when you can sign up to other services for unlimited.,28 September 2016
272,Danya,I like Audible and the free trail alright,2.0,I like Audible and the free trail alright. But the price to pay for one book per month. That's much too much.,4 April 2016
273,Jo Read,Audible,3.0,Audible has a wonderful selection but I do think it is expensive,28 April 2016
274,Hippy Chick,Amazon have lost the plot,1.0,"£7.99 for one book, problems with devices and problems with cancellations.A howler.",19 September 2016
275,Brian Sullivan,Terrible value.,1.0,This is a terrible deal. Just under 100 per year for 12 books.,13 August 2016
276,Amazon Customer,Far too expensive,1.0,Way too expensive...especially for someone who isn't a prolific book reader,27 January 2017
277,Sheilagh,"I actually loved it, it was great doing the housework with ...",1.0,"I actually loved it, it was great doing the housework with earphones in listening to the book, it went much quicker!!  The reason I have given it 1 star is the price - £7.99 for 1 book per month is ridiculous.  When its 3/4 quid a month, get in touch and I'll rejoin.",9 June 2016
278,Amazon Customer,Terrible,1.0,Terrible Offer! A Rip Off.,7 March 2017
279,Richard C.,expensive audio books so the monthly subscription is worth it,3.0,"Paying £7:99 a month for a book each month is cheaper than buying the audio books themselves i think u should get two tokens a month though, i would recommend it but I think the audio book prices themselves are expensive",17 April 2016
280,Honeybun,Love to listen to my chosen books when walking the ...,5.0,"Love to listen to my chosen books when walking the dog, great value and very convenient! Recommend to anyone who hasn't the time to sit and read a paperback.",20 March 2016
281,Amazon Customer,Two Stars,2.0,Too expensive for me,10 May 2018
282,Amazon Customer,Expensive,1.0,Far too expensive,26 May 2017
283,llipdeR,Great.,5.0,Easy to use with a decent choice of books. It's nice to listen to audiobooks instead when you get bored of the monotonous radio output on business journeys :-),17 July 2016
284,Mr. Adrian Cave,Errrrrrr! Nope! Faaaaarrrrrr toooo expensive. Kindle books ...,1.0,Errrrrrr! Nope! Faaaaarrrrrr toooo expensive. Kindle books cost a fraction of that to buy. Even paper backs are cheaper and you can resell those...,7 May 2016
285,KGS,One Star,1.0,"No thankyou, to expensive",25 June 2017
286,Miss L Easteal,£7.99 a month.....thieving gits,1.0,"Don’t think I’ll bother,",28 February 2019
287,Villa Girl,Why all the moaning? Audible is great!,5.0,I'm really shocked about the negative reviews on here for audible. I don't think people are very good at playing the game here. £7.99 per month gets you a free book. So far I have gone for absolute monsters that are 30+ hours long. These books cost a fortune full price (although I doubt many people pay £30 odd quid for them in reality) so I am getting a real bargain. I am at the point where it's taking me so long to listen to the books that I have a bit of a backlog. So I went to the audible site and looked at the 'cancel your membership' options. Here you can put your account on hold for 3 months - they don't charge you for those 3 months but you can use your credits and you can also buy audiobooks as normal. I think this is great. In 3 months I'll probably have caught up. I had my questions answered by 'Lice Chat' which is a fantastic customer service tool. I'm very surprised at all the moaning and groaning from people. I think Audible is fantastic!,16 June 2016
288,Georgina,Great choice,5.0,Get choice of books. It would be good to get some more offers for lon term members.,4 April 2016
289,Fongi  C,"Good but expensive, not good value for money.",3.0,"I like listening to audio books but £7.99 for 1 book per month is very expensive. You are better off with kindle unlimited for £7.99 as there are many books where you can read and listen to, have up to 10 books at a time in your library then return them and read/listen to more. Better value for money then this i'm afraid.",27 May 2016
290,Sharron Plant,One unhappy customer,1.0,Not happy at all...I reinstated my membership today only to find audible is no longer available on my windows 8.1surface so I will be cancelling my membership.... really unhappy as I use to listen to my books whilst working !,8 January 2016
291,Stephen Orr,One Star,1.0,"No Chance, for £7.99 a month i'd expect unlimited books, not just 1 per month!",25 April 2016
292,jolly bolly,Pleased with Audible,5.0,Building up a good collection from the titles available.  Very easy and quick.  Good savings using audible subscription.,1 May 2016
293,Amazon Customer,So where is my free audio book then?,1.0,A free audio book or the usual sign up for a free trial and hope you don't get around to canceling it.,28 May 2017
294,ken judge,Appalling deal!! Come on Amazon try harder !,1.0,When you consider napster( music ) or netflix (films ) charge similar  amounts pet month this deal is appalling,17 April 2017
295,macka,Great for books such as the Harry Potter series which ...,5.0,Great for books such as the Harry Potter series which are expensive to buy. These are brilliant for long car journeys.,22 February 2016
296,Gdub,Throwing pound coins down a drain would be better value for money,1.0,"So for my Amazon prime subscription (£79 per year) I get more TV and films than I could find time to watch, more streaming music than I could find time to listen to, free one day delivery on most things I might want to buy as well as one kindle book per month and unlimited photo storage.For an additional £95.88 a year I can have a single book per month read out to me.I think I'll pass.",11 February 2016
297,RAFAEL,"BE VERY CAREFUL WITH THEM, THEY CHARGED ME AFTER MEMBERSHIP CANCELLATION",1.0,"I tested the free trial and the quality and the app were just ok. But I did not use it very much so I cancelled the Free Trial Membership, I received an email from them confirming the cancellation. Then 2 months later I discovered in my bank account a monthly charge from them...",10 October 2017
298,Mariola G,Great,5.0,I highly recommend to try the free trial of Audible. It gives you the opportunity to explote all the materials that they hava and listening to a book of your choice. Perfect service.,13 June 2016
299,Mo Khodabakhsh,"For me it is great, as I am most of the time on ...",4.0,"For me it is great, as I am most of the time on the go and can't read a book physically in my hand. Audible makes it possible for me to go through a lot more book than I would otherwise.",22 May 2017
300,MallingFox,Nope,1.0,Much too expensive.,8 May 2016
301,Andi Main,Try it! It is a new way to get into the world of the storyteller:),4.0,"I love books! To hear a book read by someone else, to have a whole different outlook to imagine the text is wonderful,",28 May 2017
302,Ian A. Kirton,£7. 99 for ONE book a month!! ...,1.0,£7.99 for ONE book a month !!!!!!!!,15 April 2016
303,Elastigirl,Recommended for listening to while driving or doing household chores.,5.0,A much cheaper way of buying audio books and listening to them while doing boring household chores makes a tedious task enjoyable.,25 June 2016
304,Lynne Cumiskey,"although I love Discworld, I couldn't bear the narrator",5.0,"I took out membership for a while and then cancelled it.  There was no problem with this; it was totally fuss free.  I had also had audiobooks where, although I love Discworld, I couldn't bear the narrator!  I sent these back, again without fuss.I've now rejoined following a promotional deal, and have carried on collecting, being the proud owner of every Discworld novel. Some of the older recordings are of variable quality, but most of the newer ones are extremely good.  I listen on a Kindle Fire 3rd incarnation, and it's great. I'm now starting a new collection.Being able to store in and retrieve from the cloud is good, as there isn't much space on a Fire with all the software installed (Amazon, please take note).  All in all, I am a very satisfied customer.",17 March 2016
305,Lopsey,but the packages aren much better the more books you get,5.0,"I tried this and am now hooked, but the packages aren much better the more books you get. One book a month is either too many or too few for people. Overall I love Audible",23 May 2017
306,Thomas R. Gaskin,Worth using.,4.0,Easy to use. It would be good if you could buy the audios on the app opposed to having to buy them online and switch between them. But on the whole I'm quite pleased with this.,30 October 2016
307,Amazon Customer,Dont spend over 100 a year on 12 audio books.,1.0,Really? Amazon thinks consumers will actually buy this?,27 November 2016
308,Matty,1 book a month! WHAT A JOKE!,1.0,"Are you serious? 1 book a month? The price of This is completely out of whack with all other subscription services like Prime, Netflix, Spotify where you can listen to whatever you like, when you like  SORT IT OUT IF YOU WANT THIS TO WORK!",26 July 2017
309,Little Pig Reviews,I wasn't really sure on audible but used the free ...,4.0,I wasn't really sure on audible but used the free trial and just haven't cancelled quite enjoying having an audio book a month :),28 August 2016
310,jenifer,It is a great service and I love it,5.0,"I prefer to read books,  but those not available on kindle can sometimes be found on audible.It is a great service and I love it.",12 July 2015
311,Draco,Great,5.0,"Love this App. It gives me chance to ""read"" books whilst undertaking other activities - such as gardening, walking and painting.",6 March 2016
312,Rosie in Bolton,Not enough choice,2.0,"Way too expensive, more choice in morrisons",11 June 2017
313,Heather Wilson,very poor value - i must be missing something as its ...,1.0,very poor value - i must be missing something as its cheaper to walk into a high street store and buy the books,5 March 2017
314,Jenny,Also you have to be at a laptop to buy and download books which is annoying when travelling,2.0,"Books are very expensive to download, much more than kindle. Also you have to be at a laptop to buy and download books which is annoying when travelling. It's a great service but could definitely be improved.",21 June 2016
315,martyn reed,Brilliant,5.0,"Its brilliant, I can listen to books while I'm at work. Its like reading and working at the same time. Every now and again I have to buy some extra credits though.",29 January 2017
316,Jacqui Roberts,... this would be my cup of tea as i love to read but have found listening to books is ...,5.0,didn't think this would be my cup of tea as i love to read but have found listening to books is just as much fun as reading them,28 March 2016
317,LuNi,One Star,1.0,This is not really a free audio book! It is a subscription with a first book 'free'!,14 May 2017
318,constance messenger,Audible trial,5.0,"Enjoyed my trial , it was nice to listen to a book for a change ,will be using again .",15 May 2016
319,Mrs roberts,Brilliant amazing service. Great value for money.,5.0,Fantastic service amazing idea love every thing about it.  Great price 100 per cent in every way.,15 May 2016
320,choosy Mum,I like it for listening on the commute,3.0,I like it for listening on the commute. Choosing what to get is hard but the refund offer on books you try and then return seems pretty fair.,7 November 2016
321,craig lane,Five Stars,5.0,Great selection of books and very well put together. Highly recommend it for travelling or just at home,3 April 2016
322,Falkonius,you can do better!,3.0,"Support for older mp3 players is almost non-existent. One is forced to use iPhone, iPad or other device to listen to the purchased files. I would rather use any of my old mp3 players but am not given this opportunity. Audible, you can do better!",10 July 2016
323,Steve Smith,Too pricey for the amount of books I listen to :(,2.0,"I love Audible but I've got an issue withe cost of a monthly subscription vs the time I get to listen to the books. If it was on a per book fee, then I'd consider using the service again,",7 October 2016
324,Kindle Customer,Three Stars,3.0,Some time one need to listen and read the book to maximize the content.,31 July 2016
325,martin putt,Great Value,5.0,Audible is a fantastic website and well worth the money you have to pay for it.,22 February 2016
326,Michelle,£7.99 for ONE book per MONTH is ridiculous,1.0,£7.99 for ONE book per MONTH is ridiculous.,31 May 2020
327,ray,Expensive,2.0,"One book a month for the price is not good, very poor value.",16 January 2018
328,Amazon Customer,Too expensive for just one book a month!!,1.0,WAY too exoensive! Plus the books I am interested in says 'not available from this device' iPhone!?,28 August 2016
329,SuzeJo,Audible Books,1.0,Way too expensive for just one book... I would of expected unlimited books !,3 September 2017
330,Jenny,Four Stars,4.0,Delighted to find a reasonably priced subscription for audio books!,26 June 2016
331,Zimsunflower237,Awesome audio to suit all ages,5.0,"Audible opened up the world of books to my reluctant reader. She still prefers audiobooks but will often get the corresponding book out and read it for herself after stress listened to a story.I've also found that by listening to the book before we watch the related movie (a standing rule in our home), that both my children have a clearer understanding of what is going on leaving them (and me) free to enjoy the movie without worrying about the outcome in the scary bits and they don't ask a million questions questions in the complicated bits either.I think the price is fair, in our case all of the books we've choosen are priced above the monthly fee, and because we only get 1 a month the children are learning to negotiate to make sure they are both happy with their choice each month, and we count down the days till we can choose a new book.Our favourites to date are  Harry Potter, Wonder, Truckers, Diggers & Wings, The Secret of Moon Acre, The Hobbit, Stig of the Dump and The Book Thief to name but a few.",21 May 2017
